name_district;ID_district;labour_force;activity_rate;employment;unemployment_rate;housing_units
CAPITOLE;00001;2364;43.10722101;1928;18.44331641;4588
ARNAUD-BERNARD;00002;2936;37.97206415;2328;20.70844687;5664
SAINT-GEORGES;00003;1464;41.30925508;1256;13.93442623;2964
SAINT-ETIENNE;00004;2054;49.24478542;1713;16.21226874;2978
CARMES;00005;2504;50.08;2126;14.89616613;3976
SAINT-CYPRIEN;00006;1924;50.10416667;1536;19.75051975;2940
AMIDONNIERS;00007;2288;41.66059723;1984;13.11188811;3612
COMPANS;00008;2940;48.0706344;2452;16.05442177;4884
LES-CHALETS;00009;3560;51.47484095;2896;18.08988764;5444
MATABIAU;00010;3892;52.88043478;3152;18.80781089;6376
SAINT-AUBIN-DUPUY;00011;4052;52.40558717;3236;19.84205331;6436
LE-BUSCA;00012;4076;52.68872802;3472;14.62217861;5632
SAINT-MICHEL;00013;4024;45.52036199;3196;20.17892644;6700
RAMIER;00014;324;26.82119205;296;8.641975309;160
FER-A-CHEVAL;00015;2572;55.67099567;2160;15.86314152;3320
PATTE-D'OIE;00016;4596;54.4549763;3700;19.32114882;5680
SEPT-DENIERS;00017;2480;57.03771849;2088;15.80645161;2596
MINIMES;00018;10392;58.25112108;8432;18.78367975;12320
BONNEFOY;00019;3916;54.72330911;3068;21.24616956;4912
MARENGO-JOLIMONT;00020;5328;57.04496788;4248;19.96996997;7188
GUILHEMERY;00021;5967;55.84464202;4859;18.33417128;7525
COTE-PAVEE;00022;5204;52.80032468;4504;13.37432744;6440
PONT-DES-DEMOISELLES;00023;4932;60.20507812;4132;16.05839416;5372
SAUZELONG-RANGUEIL;00024;4612;52.03068592;3836;16.39202082;5968
SAINT-AGNE;00025;2612;54.28096426;2172;16.84532925;3660
JULES-JULIEN;00026;1084;46.80483592;904;16.23616236;1764
EMPALOT;00027;2676;50.26296018;1688;36.77130045;3368
CROIX-DE-PIERRE;00028;3292;57.35191638;2776;15.67436209;3668
PAPUS;00029;2468;54.50530035;1816;26.09400324;2616
FAOURETTE;00030;1724;50.40935673;1120;34.80278422;1984
FONTAINE-LESTANG;00031;1092;47.64397906;904;16.84981685;1384
BAGATELLE;00032;2632;52.09817894;1400;46.35258359;2812
ARENES;00033;1944;53.40659341;1556;19.5473251;2540
LA-CEPIERE;00034;2128;56.11814346;1660;21.80451128;2372
CASSELARDIT;00035;4388;57.01663202;3692;15.67912489;5112
GINESTOUS;00036;580;65.61085973;484;16.55172414;216
BARRIERE-DE-PARIS;00037;3284;56.8953569;2736;16.19975639;3716
LALANDE;00038;1660;63.26219512;1420;14.21686747;1448
LES-IZARDS;00039;1544;58.84146341;1044;32.12435233;1520
CROIX-DAURADE;00040;6664;63.58778626;5632;15.30612245;6420
GRAMONT;00041;344;58.50340136;304;11.62790698;236
ROSERAIE;00042;4400;59.55603682;3704;15.72727273;4608
JUNCASSE-ARGOULETS;00043;3252;57.05263158;2780;14.26814268;3552
SOUPETARD;00044;1844;59.33075933;1472;19.73969631;1868
CHATEAU-DE-L'HERS;00045;3916;61.34085213;3376;13.68743616;3924
LA-TERRASSE;00046;4000;66.44518272;3524;11.6;3676
MONTAUDRAN-LESPINET;00047;3428;60.52259887;3000;11.78529755;3364
RANGUEIL-CHR-FACULTES;00048;4504;31.86191285;3900;12.87744227;8580
POUVOURVILLE;00049;1044;46.44128114;916;11.49425287;1556
ZONES-D'ACTIVITES-SUD;00050;260;44.82758621;232;10.76923077;272
LA-FOURGUETTE;00051;2128;62.22222222;1588;25.18796992;2072
BELLEFONTAINE;00052;3776;56.42558279;2384;36.65254237;3564
REYNERIE;00053;4212;60.7266436;2484;40.64577398;3920
MIRAIL-UNIVERSITE;00054;1908;52.30263158;1416;25.78616352;2028
SAINT-SIMON;00055;2432;59.88672741;2156;10.36184211;2084
BASSO-CAMBO;00056;1840;75.78253707;1596;13.26086957;1480
LES-PRADETTES;00057;3216;67.1679198;2700;15.92039801;2972
LARDENNE;00058;3108;57.17439294;2720;12.35521236;3564
SAINT-MARTIN-DU-TOUCH;00059;864;57.7540107;736;14.81481481;792
PURPAN;00060;3152;58.67460908;2712;13.95939086;3772
